DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
2162,Benign neoplasm of ear and external auditory canal,Benign neo skin ear
2163,Benign neoplasm of skin of other and unspecified parts of face,Benign neo skin face NEC
2164,Benign neoplasm of scalp and skin of neck,Ben neo scalp/skin neck
2165,"Benign neoplasm of skin of trunk, except scrotum",Benign neo skin trunk
2166,"Benign neoplasm of skin of upper limb, including shoulder",Benign neo skin arm
2167,"Benign neoplasm of skin of lower limb, including hip",Benign neo skin leg
2168,Benign neoplasm of other specified sites of skin,Benign neoplasm skin NEC
2169,"Benign neoplasm of skin, site unspecified",Benign neoplasm skin NOS
217,Benign neoplasm of breast,Benign neoplasm breast
2180,Submucous leiomyoma of uterus,Submucous leiomyoma
2181,Intramural leiomyoma of uterus,Intramural leiomyoma
2182,Subserous leiomyoma of uterus,Subserous leiomyoma
2189,"Leiomyoma of uterus, unspecified",Uterine leiomyoma NOS
2190,Benign neoplasm of cervix uteri,Benign neo cervix uteri
2191,Benign neoplasm of corpus uteri,Benign neo corpus uteri
2198,Benign neoplasm of other specified parts of uterus,Benign neo uterus NEC
2199,"Benign neoplasm of uterus, part unspecified",Benign neo uterus NOS
220,Benign neoplasm of ovary,Benign neoplasm ovary
2210,Benign neoplasm of fallopian tube and uterine ligaments,Ben neo fallopian tube
2211,Benign neoplasm of vagina,Benign neoplasm vagina
2212,Benign neoplasm of vulva,Benign neoplasm vulva
2218,Benign neoplasm of other specified sites of female genital organs,Ben neo fem genital NEC
2219,"Benign neoplasm of female genital organ, site unspecified",Ben neo fem genital NOS
2220,Benign neoplasm of testis,Benign neoplasm testis
2221,Benign neoplasm of penis,Benign neoplasm penis
2222,Benign neoplasm of prostate,Benign neoplasm prostate
2223,Benign neoplasm of epididymis,Benign neo epididymis
2224,Benign neoplasm of scrotum,Benign neoplasm scrotum
2228,Benign neoplasm of other specified sites of male genital organs,Ben neo male genital NEC
2229,"Benign neoplasm of male genital organ, site unspecified",Ben neo male genital NOS
2230,"Benign neoplasm of kidney, except pelvis",Benign neoplasm kidney
2231,Benign neoplasm of renal pelvis,Benign neo renal pelvis
2232,Benign neoplasm of ureter,Benign neoplasm ureter
2233,Benign neoplasm of bladder,Benign neoplasm bladder
22381,Benign neoplasm of urethra,Benign neoplasm urethra
22389,Benign neoplasm of other specified sites of urinary organs,Benign neo urinary NEC
2239,"Benign neoplasm of urinary organ, site unspecified",Benign neo urinary NOS
2240,"Benign neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid",Benign neoplasm eyeball
2241,Benign neoplasm of orbit,Benign neoplasm orbit
2242,Benign neoplasm of lacrimal gland,Ben neo lacrimal gland
2243,Benign neoplasm of conjunctiva,Benign neo conjunctiva
2244,Benign neoplasm of cornea,Benign neoplasm cornea
2245,Benign neoplasm of retina,Benign neoplasm retina
2246,Benign neoplasm of choroid,Benign neoplasm choroid
2247,Benign neoplasm of lacrimal duct,Ben neo lacrimal duct
2248,Benign neoplasm of other specified parts of eye,Benign neoplasm eye NEC
2249,"Benign neoplasm of eye, part unspecified",Benign neoplasm eye NOS
2250,Benign neoplasm of brain,Benign neoplasm brain
2251,Benign neoplasm of cranial nerves,Benign neo cranial nerve
2252,Benign neoplasm of cerebral meninges,Ben neo cerebr meninges
2253,Benign neoplasm of spinal cord,Benign neo spinal cord
2254,Benign neoplasm of spinal meninges,Ben neo spinal meninges
2258,Benign neoplasm of other specified sites of nervous system,Benign neo nerv sys NEC
2259,"Benign neoplasm of nervous system, part unspecified",Benign neo nerv sys NOS
226,Benign neoplasm of thyroid glands,Benign neoplasm thyroid
2270,Benign neoplasm of adrenal gland,Benign neoplasm adrenal
2271,Benign neoplasm of parathyroid gland,Benign neo parathyroid
2273,Benign neoplasm of pituitary gland and craniopharyngeal duct,Benign neo pituitary
2274,Benign neoplasm of pineal gland,Ben neopl pineal gland
2275,Benign neoplasm of carotid body,Benign neo carotid body
2276,Benign neoplasm of aortic body and other paraganglia,Ben neo paraganglia NEC
2278,Benign neoplasm of other endocrine glands and related structures,Benign neo endocrine NEC
2279,"Benign neoplasm of endocrine gland, site unspecified",Benign neo endocrine NOS
22800,Hemangioma of unspecified site,Hemangioma NOS
22801,Hemangioma of skin and subcutaneous tissue,Hemangioma skin
22802,Hemangioma of intracranial structures,Hemangioma intracranial
22803,Hemangioma of retina,Hemangioma retina
22804,Hemangioma of intra-abdominal structures,Hemangioma intra-abdom
22809,Hemangioma of other sites,Hemangioma NEC
2281,"Lymphangioma, any site","Lymphangioma, any site"
2290,Benign neoplasm of lymph nodes,Benign neo lymph nodes
2298,Benign neoplasm of other specified sites,Benign neoplasm NEC
2299,Benign neoplasm of unspecified site,Benign neoplasm NOS
2300,"Carcinoma in situ of lip, oral cavity, and pharynx",Ca in situ oral cav/phar
2301,Carcinoma in situ of esophagus,Ca in situ esophagus
2302,Carcinoma in situ of stomach,Ca in situ stomach
2303,Carcinoma in situ of colon,Ca in situ colon
2304,Carcinoma in situ of rectum,Ca in situ rectum
2305,Carcinoma in situ of anal canal,Ca in situ anal canal
2306,"Carcinoma in situ of anus, unspecified",Ca in situ anus NOS
2307,Carcinoma in situ of other and unspecified parts of intestine,Ca in situ bowel NEC/NOS
2308,Carcinoma in situ of liver and biliary system,Ca in situ liver/biliary
2309,Carcinoma in situ of other and unspecified digestive organs,Ca in situ GI NEC/NOS
2310,Carcinoma in situ of larynx,Ca in situ larynx
2311,Carcinoma in situ of trachea,Ca in situ trachea
2312,Carcinoma in situ of bronchus and lung,Ca in situ bronchus/lung
2318,Carcinoma in situ of other specified parts of respiratory system,Ca in situ resp sys NEC
2319,"Carcinoma in situ of respiratory system, part unspecified",Ca in situ resp sys NOS
2320,Carcinoma in situ of skin of lip,Ca in situ skin lip
2321,"Carcinoma in situ of eyelid, including canthus",Ca in situ eyelid
2322,Carcinoma in situ of skin of ear and external auditory canal,Ca in situ skin ear
2323,Carcinoma in situ of skin of other and unspecified parts of face,Ca in situ skin face NEC
2324,Carcinoma in situ of scalp and skin of neck,Ca in situ scalp
2325,"Carcinoma in situ of skin of trunk, except scrotum",Ca in situ skin trunk
2326,"Carcinoma in situ of skin of upper limb, including shoulder",Ca in situ skin arm
2327,"Carcinoma in situ of skin of lower limb, including hip",Ca in situ skin leg
2328,Carcinoma in situ of other specified sites of skin,Ca in situ skin NEC
2329,"Carcinoma in situ of skin, site unspecified",Ca in situ skin NOS
2330,Carcinoma in situ of breast,Ca in situ breast
2331,Carcinoma in situ of cervix uteri,Ca in situ cervix uteri
2332,Carcinoma in situ of other and unspecified parts of uterus,Ca in situ uterus NEC
23330,"Carcinoma in situ, unspecified female genital organ",Ca in situ fem gen NOS
23331,"Carcinoma in situ, vagina",Carcinoma in situ vagina
23332,"Carcinoma in situ, vulva",Carcinoma in situ vulva
23339,"Carcinoma in situ, other female genital organ",Ca in situ fem gen NEC
2334,Carcinoma in situ of prostate,Ca in situ prostate
2335,Carcinoma in situ of penis,Ca in situ penis
2336,Carcinoma in situ of other and unspecified male genital organs,Ca in situ male gen NEC
2337,Carcinoma in situ of bladder,Ca in situ bladder
2339,Carcinoma in situ of other and unspecified urinary organs,Ca in situ urinary NEC
2340,Carcinoma in situ of eye,Ca in situ eye
2348,Carcinoma in situ of other specified sites,Ca in situ NEC
2349,"Carcinoma in situ, site unspecified",Ca in situ NOS
2350,Neoplasm of uncertain behavior of major salivary glands,Unc behav neo salivary
2351,"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx",Unc behav neo oral/phar
2352,"Neoplasm of uncertain behavior of stomach, intestines, and rectum",Unc behav neo intestine
2353,Neoplasm of uncertain behavior of liver and biliary passages,Unc behav neo liver
2354,Neoplasm of uncertain behavior of retroperitoneum and peritoneum,Unc behav neo peritoneum
2355,Neoplasm of uncertain behavior of other and unspecified digestive organs,Unc behav neo GI NEC
2356,Neoplasm of uncertain behavior of larynx,Unc behav neo larynx
2357,"Neoplasm of uncertain behavior of trachea, bronchus, and lung",Unc behav neo lung
2358,"Neoplasm of uncertain behavior of pleura, thymus, and mediastinum",Unc behav neo pleura
2359,Neoplasm of uncertain behavior of other and unspecified respiratory organs,Unc behav neo resp NEC
2360,Neoplasm of uncertain behavior of uterus,Uncert behav neo uterus
2361,Neoplasm of uncertain behavior of placenta,Unc behav neo placenta
2362,Neoplasm of uncertain behavior of ovary,Unc behav neo ovary
2363,Neoplasm of uncertain behavior of other and unspecified female genital organs,Unc behav neo female NEC
2364,Neoplasm of uncertain behavior of testis,Unc behav neo testis
2365,Neoplasm of uncertain behavior of prostate,Unc behav neo prostate
2366,Neoplasm of uncertain behavior of other and unspecified male genital organs,Unc behav neo male NEC
2367,Neoplasm of uncertain behavior of bladder,Unc behav neo bladder
23690,"Neoplasm of uncertain behavior of urinary organ, unspecified",Unc behav neo urinar NOS
23691,Neoplasm of uncertain behavior of kidney and ureter,Unc behav neo kidney
23699,Neoplasm of uncertain behavior of other and unspecified urinary organs,Unc behav neo urinar NEC
2370,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,Unc behav neo pituitary
2371,Neoplasm of uncertain behavior of pineal gland,Unc behav neo pineal
2372,Neoplasm of uncertain behavior of adrenal gland,Unc behav neo adrenal
2373,Neoplasm of uncertain behavior of paraganglia,Unc behav neo paragang
2374,Neoplasm of uncertain behavior of other and unspecified endocrine glands,Uncer neo endocrine NEC
2375,Neoplasm of uncertain behavior of brain and spinal cord,Unc beh neo brain/spinal
2376,Neoplasm of uncertain behavior of meninges,Unc behav neo meninges
23770,"Neurofibromatosis, unspecified",Neurofibromatosis NOS
23771,"Neurofibromatosis, type 1 [von recklinghausen's disease]",Neurofibromatosis type I
23772,"Neurofibromatosis, type 2 [acoustic neurofibromatosis]",Neurofibromatosis typ II
2379,Neoplasm of uncertain behavior of other and unspecified parts of nervous system,Unc beh neo nerv sys NEC
2380,Neoplasm of uncertain behavior of bone and articular cartilage,Unc behav neo bone
2381,Neoplasm of uncertain behavior of connective and other soft tissue,Unc behav neo soft tissu
2382,Neoplasm of uncertain behavior of skin,Unc behav neo skin
2383,Neoplasm of uncertain behavior of breast,Unc behav neo breast
2384,Polycythemia vera,Polycythemia vera
2385,Neoplasm of uncertain behavior of histiocytic and mast cells,Mastocytoma NOS
2386,Neoplasm of uncertain behavior of plasma cells,Plasmacytoma NOS
23871,Essential thrombocythemia,Essntial thrombocythemia
23872,Low grade myelodysplastic syndrome lesions,Low grde myelody syn les
23873,High grade myelodysplastic syndrome lesions,Hi grde myelodys syn les
23874,Myelodysplastic syndrome with 5q deletion,Myelodyspls syn w 5q del
23875,"Myelodysplastic syndrome, unspecified",Myelodysplastic synd NOS
23876,Myelofibrosis with myeloid metaplasia,Myelofi w myelo metaplas
23877,Post-transplant lymphoproliferative disorder (PTLD),Post tp lymphprolif dis
23879,Other lymphatic and hematopoietic tissues,Lymph/hematpoitc tis NEC
2388,Neoplasm of uncertain behavior of other specified sites,Uncert behavior neo NEC
2389,"Neoplasm of uncertain behavior, site unspecified",Uncert behavior neo NOS
2390,Neoplasm of unspecified nature of digestive system,Digestive neoplasm NOS
2391,Neoplasm of unspecified nature of respiratory system,Respiratory neoplasm NOS
2392,"Neoplasm of unspecified nature of bone, soft tissue, and skin",Bone/skin neoplasm NOS
2393,Neoplasm of unspecified nature of breast,Breast neoplasm NOS
2394,Neoplasm of unspecified nature of bladder,Bladder neoplasm NOS
2395,Neoplasm of unspecified nature of other genitourinary organs,Other gu neoplasm NOS
2396,Neoplasm of unspecified nature of brain,Brain neoplasm NOS
2397,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,Endocrine/nerv neo NOS
23981,"Neoplasms of unspecified nature, retina and choroid",Neo retina/choroid NOS
23989,"Neoplasms of unspecified nature, other specified sites",Neoplasm other sites NOS
2399,"Neoplasm of unspecified nature, site unspecified",Neoplasm NOS
2400,"Goiter, specified as simple",Simple goiter
2409,"Goiter, unspecified",Goiter NOS
2410,Nontoxic uninodular goiter,Nontox uninodular goiter
2411,Nontoxic multinodular goiter,Nontox multinodul goiter
2419,Unspecified nontoxic nodular goiter,Nontox nodul goiter NOS
24200,Toxic diffuse goiter without mention of thyrotoxic crisis or storm,Tox dif goiter no crisis
24201,Toxic diffuse goiter with mention of thyrotoxic crisis or storm,Tox dif goiter w crisis
24210,Toxic uninodular goiter without mention of thyrotoxic crisis or storm,Tox uninod goit no cris
24211,Toxic uninodular goiter with mention of thyrotoxic crisis or storm,Tox uninod goit w crisis
24220,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,Tox multnod goit no cris
24221,Toxic multinodular goiter with mention of thyrotoxic crisis or storm,Tox multnod goit w cris
24230,"Toxic nodular goiter, unspecified type, without mention of thyrotoxic crisis or storm",Tox nod goiter no crisis
24231,"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm",Tox nod goiter w crisis
24240,Thyrotoxicosis from ectopic thyroid nodule without mention of thyrotoxic crisis or storm,Thyrotox-ect nod no cris
24241,Thyrotoxicosis from ectopic thyroid nodule with mention of thyrotoxic crisis or storm,Thyrotox-ect nod w cris
24280,Thyrotoxicosis of other specified origin without mention of thyrotoxic crisis or storm,Thyrtox orig NEC no cris
24281,Thyrotoxicosis of other specified origin with mention of thyrotoxic crisis or storm,Thyrotox orig NEC w cris
24290,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",Thyrotox NOS no crisis
24291,"Thyrotoxicosis without mention of goiter or other cause, with mention of thyrotoxic crisis or storm",Thyrotox NOS w crisis
243,Congenital hypothyroidism,Congenital hypothyroidsm
2440,Postsurgical hypothyroidism,Postsurgical hypothyroid
2441,Other postablative hypothyroidism,Postablat hypothyr NEC
2442,Iodine hypothyroidism,Iodine hypothyroidism
2443,Other iatrogenic hypothyroidism,Iatrogen hypothyroid NEC
2448,Other specified acquired hypothyroidism,Acquired hypothyroid NEC
2449,Unspecified acquired hypothyroidism,Hypothyroidism NOS
2450,Acute thyroiditis,Acute thyroiditis
2451,Subacute thyroiditis,Subacute thyroiditis
2452,Chronic lymphocytic thyroiditis,Chr lymphocyt thyroidit
2453,Chronic fibrous thyroiditis,Chr fibrous thyroiditis
2454,Iatrogenic thyroiditis,Iatrogenic thyroiditis
2458,Other and unspecified chronic thyroiditis,Chr thyroiditis NEC/NOS
2459,"Thyroiditis, unspecified",Thyroiditis NOS
2460,Disorders of thyrocalcitonin secretion,Dis thyrocalciton secret
2461,Dyshormonogenic goiter,Dyshormonogenic goiter
2462,Cyst of thyroid,Cyst of thyroid
2463,Hemorrhage and infarction of thyroid,Hemorr/infarc thyroid
2468,Other specified disorders of thyroid,Disorders of thyroid NEC
2469,Unspecified disorder of thyroid,Disorder of thyroid NOS
24900,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",Sec DM wo cmp nt st uncn
